ADDRESS_STATE,OFFER_PRODUCT,OFFER_CHANNEL,BUREAU,EXPECTED_INHOME_DATE,UNIQUE_RESERVATION_CODE_COUNT,UNIQUE_APPLICANTS,UNIQUE_APPROVED,UNIQUE_FUNDED,RESPONSE_RATE_PCT,APPROVAL_RATE_PCT,FUND_RATE_PCT
ID,ILP,ONLINE,LN,1/16/2024,44,0,0,0,0,0,0
ID,ILP,ONLINE,TU,1/16/2024,1062,5,5,4,0.47,0.47,0.38
ID,ILP,STORE,FT,1/16/2024,534,3,3,3,0.56,0.56,0.56
ID,ILP,STORE,LN,1/16/2024,201,1,1,1,0.5,0.5,0.5
ID,ILP,STORE,TU,1/16/2024,541,0,0,0,0,0,0
KS,LOC,OMNI,FT,1/16/2024,684,3,3,3,0.44,0.44,0.44
KS,LOC,OMNI,LN,1/16/2024,176,0,0,0,0,0,0
KS,LOC,OMNI,TU,1/16/2024,5100,16,12,7,0.31,0.24,0.14
KS,LOC,ONLINE,FT,1/16/2024,84,0,0,0,0,0,0
KS,LOC,ONLINE,LN,1/16/2024,22,0,0,0,0,0,0
KS,LOC,ONLINE,TU,1/16/2024,559,4,4,2,0.72,0.72,0.36
KS,LOC,STORE,FT,1/16/2024,366,1,1,1,0.27,0.27,0.27
KS,LOC,STORE,LN,1/16/2024,313,0,0,0,0,0,0
MO,ILP,OMNI,FT,1/16/2024,4227,24,24,21,0.57,0.57,0.5
MO,ILP,OMNI,LN,1/16/2024,946,1,1,0,0.11,0.11,0
MO,ILP,OMNI,TU,1/16/2024,12933,46,45,32,0.36,0.35,0.25
MO,ILP,ONLINE,FT,1/16/2024,165,0,0,0,0,0,0
MO,ILP,ONLINE,LN,1/16/2024,79,0,0,0,0,0,0
MO,ILP,ONLINE,TU,1/16/2024,1418,4,3,2,0.28,0.21,0.14
MO,ILP,STORE,FT,1/16/2024,2684,15,10,9,0.56,0.37,0.34
MO,ILP,STORE,LN,1/16/2024,1315,2,2,2,0.15,0.15,0.15
MO,ILP,STORE,TU,1/16/2024,5466,20,12,12,0.37,0.22,0.22
MS,ILP,OMNI,FT,1/16/2024,3167,22,19,18,0.69,0.6,0.57
MS,ILP,OMNI,LN,1/16/2024,2359,11,9,6,0.47,0.38,0.25
MS,ILP,OMNI,TU,1/16/2024,21014,88,83,67,0.42,0.4,0.32
MS,ILP,ONLINE,FT,1/16/2024,38,1,1,0,2.63,2.63,0
MS,ILP,ONLINE,LN,1/16/2024,48,0,0,0,0,0,0
MS,ILP,ONLINE,TU,1/16/2024,318,0,0,0,0,0,0
MS,ILP,STORE,FT,1/16/2024,6797,21,15,11,0.31,0.22,0.16
MS,ILP,STORE,LN,1/16/2024,4090,21,18,13,0.51,0.44,0.32
MS,ILP,STORE,TU,1/16/2024,7557,40,30,28,0.53,0.4,0.37
NV,ILP,OMNI,FT,1/16/2024,2815,34,29,20,1.21,1.03,0.71
NV,ILP,OMNI,LN,1/16/2024,116,0,0,0,0,0,0
NV,ILP,OMNI,TU,1/16/2024,6655,31,30,19,0.47,0.45,0.29
NV,ILP,ONLINE,FT,1/16/2024,129,0,0,0,0,0,0
NV,ILP,ONLINE,LN,1/16/2024,23,0,0,0,0,0,0
NV,ILP,ONLINE,TU,1/16/2024,185,1,1,1,0.54,0.54,0.54
NV,ILP,STORE,FT,1/16/2024,1289,8,1,1,0.62,0.08,0.08
NV,ILP,STORE,LN,1/16/2024,188,1,1,0,0.53,0.53,0
NV,ILP,STORE,TU,1/16/2024,2543,14,10,8,0.55,0.39,0.31
OK,ILP,OMNI,FT,1/16/2024,3057,16,15,15,0.52,0.49,0.49
OK,ILP,OMNI,LN,1/16/2024,1011,5,5,3,0.49,0.49,0.3
OK,ILP,OMNI,TU,1/16/2024,13699,45,45,38,0.33,0.33,0.28
OK,ILP,ONLINE,FT,1/16/2024,399,1,1,1,0.25,0.25,0.25
OK,ILP,ONLINE,LN,1/16/2024,456,1,1,1,0.22,0.22,0.22
OK,ILP,ONLINE,TU,1/16/2024,3448,8,7,6,0.23,0.2,0.17
OK,ILP,STORE,FT,1/16/2024,2126,7,6,5,0.33,0.28,0.24
OK,ILP,STORE,LN,1/16/2024,1626,3,3,3,0.18,0.18,0.18
OK,ILP,STORE,TU,1/16/2024,3812,20,15,11,0.52,0.39,0.29
SC,LOC,OMNI,FT,1/16/2024,3066,27,25,21,0.88,0.82,0.68
SC,LOC,OMNI,LN,1/16/2024,1279,3,3,3,0.23,0.23,0.23
SC,LOC,OMNI,TU,1/16/2024,23328,105,98,78,0.45,0.42,0.33
SC,LOC,ONLINE,LN,1/16/2024,3,0,0,0,0,0,0
SC,LOC,ONLINE,TU,1/16/2024,17,0,0,0,0,0,0
SC,LOC,STORE,FT,1/16/2024,2379,10,6,6,0.42,0.25,0.25
SC,LOC,STORE,LN,1/16/2024,2166,15,11,10,0.69,0.51,0.46
SC,LOC,STORE,TU,1/16/2024,5293,32,26,25,0.6,0.49,0.47
TN,LOC,OMNI,FT,1/16/2024,1653,3,2,2,0.18,0.12,0.12
TN,LOC,OMNI,LN,1/16/2024,438,1,1,1,0.23,0.23,0.23
TN,LOC,OMNI,TU,1/16/2024,16647,59,55,40,0.35,0.33,0.24
TN,LOC,ONLINE,FT,1/16/2024,10,0,0,0,0,0,0
TN,LOC,ONLINE,LN,1/16/2024,52,0,0,0,0,0,0
TN,LOC,ONLINE,TU,1/16/2024,1644,4,2,0,0.24,0.12,0
TN,LOC,STORE,FT,1/16/2024,605,0,0,0,0,0,0
TN,LOC,STORE,LN,1/16/2024,571,5,3,1,0.88,0.53,0.18
TN,LOC,STORE,TU,1/16/2024,231,1,1,1,0.43,0.43,0.43
TX,ILP,OMNI,FT,1/16/2024,36665,245,218,173,0.67,0.59,0.47
TX,ILP,OMNI,LN,1/16/2024,1876,4,4,1,0.21,0.21,0.05
TX,ILP,OMNI,TU,1/16/2024,71750,279,260,181,0.39,0.36,0.25
TX,ILP,ONLINE,FT,1/16/2024,1575,5,4,3,0.32,0.25,0.19
TX,ILP,ONLINE,LN,1/16/2024,147,1,1,1,0.68,0.68,0.68
TX,ILP,ONLINE,TU,1/16/2024,5418,24,22,12,0.44,0.41,0.22
TX,ILP,STORE,FT,1/16/2024,17678,55,35,29,0.31,0.2,0.16
TX,ILP,STORE,LN,1/16/2024,3701,24,19,19,0.65,0.51,0.51
TX,ILP,STORE,TU,1/16/2024,2989,14,9,8,0.47,0.3,0.27
UT,ILP,OMNI,FT,1/16/2024,58,1,1,1,1.72,1.72,1.72
UT,ILP,OMNI,LN,1/16/2024,35,0,0,0,0,0,0
UT,ILP,OMNI,TU,1/16/2024,324,1,1,1,0.31,0.31,0.31
UT,ILP,ONLINE,FT,1/16/2024,760,4,4,3,0.53,0.53,0.39
UT,ILP,ONLINE,LN,1/16/2024,317,1,0,0,0.32,0,0
UT,ILP,ONLINE,TU,1/16/2024,182,0,0,0,0,0,0
UT,ILP,STORE,FT,1/16/2024,37,0,0,0,0,0,0
UT,ILP,STORE,LN,1/16/2024,59,0,0,0,0,0,0
UT,ILP,STORE,TU,1/16/2024,94,1,1,1,1.06,1.06,1.06
WI,ILP,OMNI,FT,1/16/2024,1096,8,4,4,0.73,0.37,0.37
WI,ILP,OMNI,LN,1/16/2024,336,0,0,0,0,0,0
WI,ILP,OMNI,TU,1/16/2024,10640,23,22,17,0.22,0.21,0.16
WI,ILP,ONLINE,FT,1/16/2024,135,0,0,0,0,0,0
WI,ILP,ONLINE,LN,1/16/2024,68,0,0,0,0,0,0
WI,ILP,ONLINE,TU,1/16/2024,1534,8,7,6,0.52,0.46,0.39
WI,ILP,STORE,FT,1/16/2024,1411,3,3,3,0.21,0.21,0.21
WI,ILP,STORE,LN,1/16/2024,650,1,1,1,0.15,0.15,0.15
WI,ILP,STORE,TU,1/16/2024,1002,3,2,2,0.3,0.2,0.2
AL,ILP,OMNI,LN,1/29/2024,2160,13,13,11,0.6,0.6,0.51
AL,ILP,OMNI,TU,1/29/2024,12704,70,67,57,0.55,0.53,0.45
AL,ILP,ONLINE,LN,1/29/2024,54,0,0,0,0,0,0
AL,ILP,ONLINE,TU,1/29/2024,338,0,0,0,0,0,0
AL,ILP,STORE,LN,1/29/2024,9,0,0,0,0,0,0
AL,ILP,STORE,TU,1/29/2024,9938,58,51,49,0.58,0.51,0.49
DE,ILP,OMNI,FT,1/29/2024,683,4,4,4,0.59,0.59,0.59
DE,ILP,OMNI,LN,1/29/2024,201,1,1,1,0.5,0.5,0.5
DE,ILP,OMNI,TU,1/29/2024,2430,17,15,7,0.7,0.62,0.29
DE,ILP,STORE,FT,1/29/2024,610,4,3,2,0.66,0.49,0.33
DE,ILP,STORE,LN,1/29/2024,361,0,0,0,0,0,0
DE,ILP,STORE,TU,1/29/2024,645,3,2,2,0.47,0.31,0.31
FL,ILP,OMNI,FT,1/29/2024,407,4,2,2,0.98,0.49,0.49
FL,ILP,OMNI,TU,1/29/2024,14812,111,63,41,0.75,0.43,0.28
FL,ILP,ONLINE,FT,1/29/2024,4,0,0,0,0,0,0
FL,ILP,ONLINE,TU,1/29/2024,51,0,0,0,0,0,0
FL,ILP,STORE,FT,1/29/2024,592,4,1,1,0.68,0.17,0.17
ID,ILP,OMNI,FT,1/29/2024,498,1,1,1,0.2,0.2,0.2
ID,ILP,OMNI,LN,1/29/2024,62,1,1,0,1.61,1.61,0
ID,ILP,OMNI,TU,1/29/2024,1500,5,5,1,0.33,0.33,0.07
ID,ILP,ONLINE,FT,1/29/2024,493,4,4,4,0.81,0.81,0.81
ID,ILP,ONLINE,LN,1/29/2024,44,0,0,0,0,0,0
ID,ILP,ONLINE,TU,1/29/2024,899,3,2,1,0.33,0.22,0.11
ID,ILP,STORE,FT,1/29/2024,534,1,1,1,0.19,0.19,0.19
ID,ILP,STORE,LN,1/29/2024,201,1,1,1,0.5,0.5,0.5
ID,ILP,STORE,TU,1/29/2024,476,1,1,1,0.21,0.21,0.21
KS,LOC,OMNI,FT,1/29/2024,683,2,2,2,0.29,0.29,0.29
KS,LOC,OMNI,LN,1/29/2024,176,2,2,1,1.14,1.14,0.57
KS,LOC,OMNI,TU,1/29/2024,3745,12,12,11,0.32,0.32,0.29
KS,LOC,ONLINE,FT,1/29/2024,84,0,0,0,0,0,0
KS,LOC,ONLINE,LN,1/29/2024,22,0,0,0,0,0,0
KS,LOC,ONLINE,TU,1/29/2024,394,3,2,1,0.76,0.51,0.25
KS,LOC,STORE,FT,1/29/2024,366,1,1,1,0.27,0.27,0.27
KS,LOC,STORE,LN,1/29/2024,312,2,2,1,0.64,0.64,0.32
MO,ILP,OMNI,FT,1/29/2024,4196,35,32,27,0.83,0.76,0.64
MO,ILP,OMNI,LN,1/29/2024,944,4,4,4,0.42,0.42,0.42
MO,ILP,OMNI,TU,1/29/2024,10973,35,32,16,0.32,0.29,0.15
MO,ILP,ONLINE,FT,1/29/2024,164,0,0,0,0,0,0
MO,ILP,ONLINE,LN,1/29/2024,79,0,0,0,0,0,0
MO,ILP,ONLINE,TU,1/29/2024,1217,2,2,2,0.16,0.16,0.16
MO,ILP,STORE,FT,1/29/2024,2673,10,5,5,0.37,0.19,0.19
MO,ILP,STORE,LN,1/29/2024,1312,10,7,7,0.76,0.53,0.53
MO,ILP,STORE,TU,1/29/2024,4787,26,18,16,0.54,0.38,0.33
MS,ILP,OMNI,FT,1/29/2024,3151,21,20,16,0.67,0.63,0.51
MS,ILP,OMNI,LN,1/29/2024,2352,10,10,7,0.43,0.43,0.3
MS,ILP,OMNI,TU,1/29/2024,19624,74,70,60,0.38,0.36,0.31
MS,ILP,ONLINE,FT,1/29/2024,38,1,1,1,2.63,2.63,2.63
MS,ILP,ONLINE,LN,1/29/2024,48,0,0,0,0,0,0
MS,ILP,ONLINE,TU,1/29/2024,295,2,2,0,0.68,0.68,0
MS,ILP,STORE,FT,1/29/2024,6782,21,14,12,0.31,0.21,0.18
MS,ILP,STORE,LN,1/29/2024,4072,29,24,20,0.71,0.59,0.49
MS,ILP,STORE,TU,1/29/2024,7318,51,34,29,0.7,0.46,0.4
NV,ILP,OMNI,FT,1/29/2024,2545,31,28,20,1.22,1.1,0.79
NV,ILP,OMNI,LN,1/29/2024,115,1,1,1,0.87,0.87,0.87
NV,ILP,OMNI,TU,1/29/2024,5685,40,31,24,0.7,0.55,0.42
NV,ILP,ONLINE,FT,1/29/2024,114,2,2,2,1.75,1.75,1.75
NV,ILP,ONLINE,LN,1/29/2024,23,0,0,0,0,0,0
NV,ILP,ONLINE,TU,1/29/2024,154,3,2,1,1.95,1.3,0.65
NV,ILP,STORE,FT,1/29/2024,1036,8,4,3,0.77,0.39,0.29
NV,ILP,STORE,LN,1/29/2024,188,0,0,0,0,0,0
NV,ILP,STORE,TU,1/29/2024,2226,9,4,4,0.4,0.18,0.18
OK,ILP,OMNI,FT,1/29/2024,3021,13,13,13,0.43,0.43,0.43
OK,ILP,OMNI,LN,1/29/2024,1008,5,5,4,0.5,0.5,0.4
OK,ILP,OMNI,TU,1/29/2024,11425,77,74,50,0.67,0.65,0.44
OK,ILP,ONLINE,FT,1/29/2024,396,0,0,0,0,0,0
OK,ILP,ONLINE,LN,1/29/2024,455,0,0,0,0,0,0
OK,ILP,ONLINE,TU,1/29/2024,2955,7,7,6,0.24,0.24,0.2
OK,ILP,STORE,FT,1/29/2024,2108,14,12,10,0.66,0.57,0.47
OK,ILP,STORE,LN,1/29/2024,1619,9,8,6,0.56,0.49,0.37
OK,ILP,STORE,TU,1/29/2024,3184,21,12,9,0.66,0.38,0.28
SC,LOC,OMNI,FT,1/29/2024,2984,25,23,23,0.84,0.77,0.77
SC,LOC,OMNI,LN,1/29/2024,1279,3,3,3,0.23,0.23,0.23
SC,LOC,OMNI,TU,1/29/2024,18867,77,74,60,0.41,0.39,0.32
SC,LOC,ONLINE,LN,1/29/2024,3,0,0,0,0,0,0
SC,LOC,ONLINE,TU,1/29/2024,15,0,0,0,0,0,0
SC,LOC,STORE,FT,1/29/2024,2286,9,6,6,0.39,0.26,0.26
SC,LOC,STORE,LN,1/29/2024,2158,17,16,14,0.79,0.74,0.65
SC,LOC,STORE,TU,1/29/2024,4489,23,17,17,0.51,0.38,0.38
TN,LOC,OMNI,FT,1/29/2024,1647,4,3,3,0.24,0.18,0.18
TN,LOC,OMNI,LN,1/29/2024,438,0,0,0,0,0,0
TN,LOC,OMNI,TU,1/29/2024,12098,49,46,31,0.41,0.38,0.26
TN,LOC,ONLINE,FT,1/29/2024,10,0,0,0,0,0,0
TN,LOC,ONLINE,LN,1/29/2024,52,0,0,0,0,0,0
TN,LOC,ONLINE,TU,1/29/2024,1232,5,5,3,0.41,0.41,0.24
TN,LOC,STORE,FT,1/29/2024,603,0,0,0,0,0,0
TN,LOC,STORE,LN,1/29/2024,570,5,3,3,0.88,0.53,0.53
TN,LOC,STORE,TU,1/29/2024,201,0,0,0,0,0,0
TX,ILP,OMNI,FT,1/29/2024,34137,265,228,170,0.78,0.67,0.5
TX,ILP,OMNI,LN,1/29/2024,566,3,3,2,0.53,0.53,0.35
TX,ILP,OMNI,TU,1/29/2024,61948,305,276,191,0.49,0.45,0.31
TX,ILP,ONLINE,FT,1/29/2024,1466,8,5,3,0.55,0.34,0.2
TX,ILP,ONLINE,LN,1/29/2024,37,0,0,0,0,0,0
TX,ILP,ONLINE,TU,1/29/2024,4786,22,17,11,0.46,0.36,0.23
TX,ILP,STORE,FT,1/29/2024,16233,81,55,42,0.5,0.34,0.26
TX,ILP,STORE,LN,1/29/2024,2203,18,12,7,0.82,0.54,0.32
TX,ILP,STORE,TU,1/29/2024,2692,21,17,14,0.78,0.63,0.52
UT,ILP,OMNI,FT,1/29/2024,53,1,1,1,1.89,1.89,1.89
UT,ILP,OMNI,LN,1/29/2024,35,0,0,0,0,0,0
UT,ILP,OMNI,TU,1/29/2024,270,4,3,2,1.48,1.11,0.74
UT,ILP,ONLINE,FT,1/29/2024,645,2,2,2,0.31,0.31,0.31
UT,ILP,ONLINE,LN,1/29/2024,317,1,1,0,0.32,0.32,0
UT,ILP,ONLINE,TU,1/29/2024,167,1,1,1,0.6,0.6,0.6
UT,ILP,STORE,FT,1/29/2024,31,0,0,0,0,0,0
